title,user name,date,comments,views,up votes
He Died Showing His Ass,sovkhan,03/12/2022,8,3562,3
Corpse found next to dirt road.,sovkhan,03/12/2022,9,2014,2
Body in a polluted stream,sovkhan,03/12/2022,8,3680,1
Another Normal Day in Rio de Janeiro,sovkhan,03/12/2022,10,5762,2
Thief Agonizes After Being Shot,sovkhan,03/12/2022,15,4474,5
You Can't Park There Mate,BruceLeroy,03/12/2022,15,5348,2
Watchmen are Shot,sovkhan,03/12/2022,8,3782,3
Dead Homeless,sovkhan,03/12/2022,16,2524,2
Truck driver dies on the road,sovkhan,03/12/2022,8,3846,2
Brazilian Soccer Fans Assault Rival,User404,03/12/2022,30,19256,18
Deng received amnesia after he was ejected out of his Truck in Zhouzhuang Town,Roger_From_England,03/12/2022,9,1816,3
Mr.Hu Died in an Accident in Jiangxi,Roger_From_England,03/12/2022,10,1138,4
 covid officer zebra crossing Accident in Guangzhou,Roger_From_England,03/12/2022,12,1762,3
Man on a bike was crushed a car in Guangdong,Roger_From_England,03/12/2022,8,1276,3
A woman was crushed  twice by a tractor in Guangdong ,Roger_From_England,03/12/2022,14,3746,6
Illinois State Police Fatally Shoot Man Wielding Pistol,BruceLeroy,03/12/2022,11,3662,3
Man was ejected out of his van in Hebei,Roger_From_England,03/12/2022,7,1008,4
Accident in Changzhou,Roger_From_England,03/12/2022,6,974,3
Bodycam Footage of Casper Police Shooting Armed Suspect at Fishing Pond,User404,03/12/2022,16,8378,8
"OMG, woman crushed and heart ripped out in Maranhão, Brazil",jason2000,03/12/2022,15,6412,3
Man beaten with clubs,jason2000,03/12/2022,13,4442,2
Never Turn Your Back On a Track,facerapecunt,02/12/2022,25,9996,11
Hitman Surprises Target in Broad Daylight,User404,02/12/2022,19,20376,17
DAMN! Shotgun Took His Whole Brain Off,jason2000,02/12/2022,44,46422,41
Sicarios Film Themselves Killing Perfume Vendor,User404,02/12/2022,29,64332,42
New Orleans Police Officer Shoots Man With Knife Outside The Caesars Superdome,User404,02/12/2022,32,27822,38
Palestinian Attacker Eliminated By IDF Soldier,BruceLeroy,02/12/2022,41,43906,42
Jealous Boyfriend Slits Ex GF Throat Before Killing Himself,User404,02/12/2022,74,102176,82
(Repost) Russian soldier killed by Ukrainians ,Donald26,02/12/2022,11,22860,17
"Another Day, Another Hit In Colombia",BruceLeroy,02/12/2022,17,21016,18
You Think the BULL is Ever Going to Lose?,jason2000,02/12/2022,19,25470,24
captured ukrainian leader,jason2000,02/12/2022,28,19688,12
Man Torn by Violent Machete Blows,sovkhan,02/12/2022,21,36990,15
(Repost) Head Destroyed In Horrible Accident,sovkhan,02/12/2022,14,2996,4
Driver Killed by Biker,sovkhan,02/12/2022,8,5814,4
Drug Trafficking Made Another Victim,sovkhan,02/12/2022,7,2198,3
Man was murdered at work.,sovkhan,02/12/2022,8,3932,3
A couple lost their lives on the road,sovkhan,02/12/2022,5,2124,5
Obese man knocked down and attacked by bull,jason2000,01/12/2022,28,26190,39
How to Make a Predator's Day Worse In a U.K. Jail,User404,01/12/2022,62,108400,68
Big Skirmish between Terrorist versus another terrorist ! Coast State ,DeathBeforeDishonor1,01/12/2022,13,14768,6
Compilation of 200 Russian soldiers,Demah13,01/12/2022,23,15910,19
Gang Members Cruelly Break Bones Of The Bad Luck Favela Thief,jason2000,01/12/2022,81,109170,123
Hitman Finishes Off His Victim Quickly (Action & Aftermath),User404,01/12/2022,18,17624,11
Ruthless Public Hanging of Alleged Sicario In Front of Excited Crowd,User404,01/12/2022,70,116814,72
Desperate man crushed in accident,jason2000,01/12/2022,17,7566,10
Trafficker Eliminates the Competition,User404,01/12/2022,19,48766,34
"Russia: The Parked Car Exploded, the 3-Year-Old Child Inside Died",SystemError,01/12/2022,30,48608,25
Midday BBQ .. Today's Specials Is Narco Rival,Razzia,01/12/2022,67,101058,90
Dead Ukrainian soldiers after a Russian counter-attack,SystemError,01/12/2022,27,14872,15
Cops Fatally Shoot Driver as He Backs Over Man Pulled From His Car,User404,30/11/2022,50,69032,52
Why You Should Never Piss Off A Co-Worker,BruceLeroy,30/11/2022,106,161256,122
the guy unsuccessfully broke the wall,Mixfight,30/11/2022,18,14516,17
Gas Explosion Injures 5 at Restaurant In Honduras,User404,30/11/2022,32,28088,34
Sleeping Woman Gets Hammered and Not With Alcohol,User404,30/11/2022,99,164048,130
Young Woman Dies After Collapsing During Workout In A Gym,User404,30/11/2022,77,97282,58
His Last Game Of Slots,BruceLeroy,30/11/2022,36,46670,28
Russian troops are looking for saboteurs,SystemError,30/11/2022,28,23978,14
Dropped grenade hits two RU soldiers,SystemError,30/11/2022,16,16484,18
Dead Russians near Bakhmut,SystemError,30/11/2022,10,9990,18
Aftermath Of School Bombing In Afghanistan ,BruceLeroy,30/11/2022,26,42558,26
LoL: How mines are defused in Ukraine,SystemError,30/11/2022,21,17236,15
When a bull has no respect for a woman,SystemError,30/11/2022,20,7708,12
Just When You Think Brazil Can't Get Worse (NO MERCY),User404,30/11/2022,44,147370,92
Reason to Stay the Fuck Away From Heavy Machinery (Aftermath),jason2000,30/11/2022,28,8978,11
The Fate Of Russian Invaders 9 Months - A Lullaby,puretone,30/11/2022,25,83304,64
AFU troops clean out remains of their fallen from APC,SystemError,30/11/2022,10,9164,7
Headshot on a Walking Soldier,SystemError,30/11/2022,25,46650,33
Drone drop on top of two Russian soldiers,SystemError,30/11/2022,9,9726,10
The same gang of illegal immigrants the same day in Chile.,Taurus333,30/11/2022,21,17950,9
Bullet Rain: Two Men and a Woman Met their End.,sovkhan,30/11/2022,20,67440,24
Mess in the favela: Two men and an elderly woman met their end,sovkhan,30/11/2022,9,36742,20
Corpse Found in the Creek,sovkhan,30/11/2022,6,2514,2
Man Shot In The Head Next To His Car In Philadelphia,User404,29/11/2022,34,45378,26
tearing apart a bleeding lung,jason2000,29/11/2022,17,8990,8
Electric Company Worker Fried Alive After Simple Mistake,User404,29/11/2022,69,94042,71
Truck Smears Biker Across The Pavement,BruceLeroy,29/11/2022,44,49636,41
Shocking poor old man with crushed walker,jason2000,29/11/2022,14,4508,3
Bridge Jumper Has Second Thoughts,BruceLeroy,29/11/2022,57,89824,49
Tranny Was Tortured Before They Burned Him Alive,User404,29/11/2022,93,179640,135
Black Ladies Never Saw It Coming,User404,29/11/2022,36,115666,58
When Trying to Steal a Bicycle In Dominican Republic Goes Wrong,User404,29/11/2022,78,130772,126
Heated Argument Ends In Fatal Shooting,BruceLeroy,29/11/2022,19,26452,16
Construction Site Worker Falls to His Death,User404,29/11/2022,60,79904,40
Thieves steal next to a drug dealer's house,jason2000,29/11/2022,15,13170,13
Congo couple on their honeymoon,jason2000,29/11/2022,25,17074,9
Fatal pedestrian accident in Petrozavodsk,SystemError,29/11/2022,10,4132,6
truck driver crushed under the irons,jason2000,29/11/2022,13,8042,5
old man punishes thief with sticks,Fenrir666,29/11/2022,7,5104,10
Single RU soldier is left in a foxhole,SystemError,29/11/2022,15,14180,13
Horribly aimed bomb drops near AFU in trench,SystemError,29/11/2022,16,15256,14
ukraine war compilation,loic52,29/11/2022,8,14968,15
Deadly Horse Race Accident In Brazil (Full),sovkhan,28/11/2022,37,56604,32
Man was executed Inside his House.,sovkhan,28/11/2022,11,8390,6
 Naked and Dead,sovkhan,28/11/2022,13,10530,6
Ukrainian drone + Mk 19 = good russians in Bakhmut,EternalRest,28/11/2022,21,12826,26
The legacy of the UN in Chile... illegal immigration,Taurus333,28/11/2022,18,6490,13
Even If He Survived This I Doubt He'd Want To Be Alive,User404,28/11/2022,92,168654,91
Off Duty Soldier Kills Himself With AK47 In Front Of Comrades,User404,28/11/2022,73,97406,71
Lin died in an Accident in Taizhou,Roger_From_England,28/11/2022,12,5898,9
When The Gang Life Catches Up To You,BruceLeroy,28/11/2022,21,49106,26
Two electric bicycles collided into each other in Sansui County,Roger_From_England,28/11/2022,6,3606,6
Zebra crossing Accident in Nanchang City.,Roger_From_England,28/11/2022,4,1466,5
Cao on his motorcycle collided into Tangs car in Yibin City,Roger_From_England,28/11/2022,6,1072,5
Electric bicycle collided into a car in Yugou Town,Roger_From_England,28/11/2022,4,1196,4
Elderly Li was knocked down by lu truck in Jiang'an,Roger_From_England,28/11/2022,7,2186,8
Mr. Fang died in a Accident on the G1521 Changjia Expressway,Roger_From_England,28/11/2022,4,1040,7
Worker Crushed To Death By Excavator Bucket,BruceLeroy,28/11/2022,20,34476,21
Jeweler Commits Suicide by Jumping From Third Floor In Surat,User404,28/11/2022,21,43716,33
Mentally Ill Man Pushes Worker Onto Train Tracks In India,User404,28/11/2022,32,38666,31
bus driver vs biker,Fenrir666,28/11/2022,12,8196,15
Distracted Worker On His Phone Falls Into Factory Basement.,User404,28/11/2022,34,49298,31
Brazilian killer horse,jason2000,28/11/2022,7,6044,5
Leopard Attacks Two Woman as He Makes His Getaway,User404,28/11/2022,70,185984,86
Dude Is Removed From the Trunk of a Car and Executed In Cold Blood,InnerInsanity,28/11/2022,9,10306,6
They just Figured Out They Married The Same Inmate,User404,28/11/2022,52,135334,67
"Traffickers Beat, Shoot And Detonate Rival Gang Member.",User404,28/11/2022,47,162336,81
Colombia: a simple motorcycle ride,Fenrir666,28/11/2022,9,6298,9
man gets off the wrong side and is run over,Fenrir666,28/11/2022,7,4078,4
More grenade drops into foxholes by Ukrainian drones,SystemError,28/11/2022,7,11780,30
Schoolchildren Obliterated By Lexus Driver,BruceLeroy,28/11/2022,14,5982,6
Woman Gunned Down While Having Drinks,BruceLeroy,28/11/2022,19,29086,24
Poor accident victim had his legs crushed,jason2000,28/11/2022,10,4310,1
Soccer Flare Hits a Rival Fan in the Mouth (Full Video),jason2000,28/11/2022,32,59046,28
glued to the front of a car,jason2000,28/11/2022,9,4636,3
Man got faded in accident,jason2000,28/11/2022,11,5676,6
Assassins fill two people with lead,Fenrir666,28/11/2022,8,5256,4
Dead russian soldiers in Bakhmut,EternalRest,28/11/2022,8,12072,19
Drone hits a group of Russian soldiers in Bakhmut,SystemError,28/11/2022,14,15562,24
Dog eating a dead Russian soldier,SystemError,28/11/2022,20,9250,15
Fatal accident somewhere in Russia ,SystemError,28/11/2022,8,3864,7
England and Wales Fans Fight,SystemError,28/11/2022,23,24254,34
Horrific riots in Brussels after the match,SystemError,28/11/2022,13,6584,8
Invaders Get Together For The Group Photo,puretone,28/11/2022,7,10616,17
pawn pierced in the neck,jason2000,27/11/2022,27,31932,33
Man Dies in Serious Crash (with consequences),sovkhan,27/11/2022,12,5162,4
Man attacks goalkeeper in Turkish league,sovkhan,27/11/2022,12,7240,8
Riots after Morocco’s World Cup victory,sovkhan,27/11/2022,17,5360,5
Social Chaos in Belgium,sovkhan,27/11/2022,18,5108,5
Never Stand in the Middle of a Firefight in Brazil,sovkhan,27/11/2022,12,9782,6
Turkey : Göztepe fans killed 1 Altay fan,Fenrir666,27/11/2022,8,4902,7
Accident in Daqing City,Roger_From_England,27/11/2022,11,4300,11
A tractor full of cargo crashed into man in Liangshan,Roger_From_England,27/11/2022,5,3668,13
Li was crushed by a truck in Handan city,Roger_From_England,27/11/2022,7,4448,10
Accident in Guangdong,Roger_From_England,27/11/2022,7,1788,6
Chen was nearly crushed to death by Liang Truck In Chongqing,Roger_From_England,27/11/2022,10,3642,9
Huang in his truck ran over a man in Zhejiang,Roger_From_England,27/11/2022,3,862,6
A car hit someone on the Guang'an Road zebra crossing ,Roger_From_England,27/11/2022,2,730,4
Yang speeding crashed into liu electric bicycle in Leshan City,Roger_From_England,27/11/2022,6,1124,6
4-year-old girl was hit by a car in Pujiang County,Roger_From_England,27/11/2022,4,1240,6
Men shot in Jerusalem,jason2000,27/11/2022,4,6762,8
Reason to Stay the Fuck Away From Heavy Machinery,User404,27/11/2022,61,107374,89
A car collided into Lu electric bicycle in Xiuzhou,Roger_From_England,27/11/2022,4,950,3
Accident in Baoxing County,Roger_From_England,27/11/2022,3,660,4
360° Accident in Jiangxi,Roger_From_England,27/11/2022,5,1698,6
STEALING IN TANZANIA: NOT EVEN ONCE,User404,27/11/2022,20,44400,24
Homeless Man Hangs Himself from Overpass,User404,27/11/2022,31,31310,22
Favela Traffickers Teach Bitch a Lesson ,User404,27/11/2022,51,182986,72
Helmet Didn't Matter (Full Video),User404,27/11/2022,101,193956,191
"Near Volgograd, a pensioner died",SystemError,27/11/2022,7,3008,8
found in a bloodbath,Fenrir666,27/11/2022,6,5694,4
Injuring Russian soldiers in foxhole,SystemError,27/11/2022,16,13536,26
Fatal night surprise on the Russian road near Balakhna,SystemError,27/11/2022,5,3838,4
hit by several blows in front of the bar,Fenrir666,27/11/2022,7,4740,4
No Mercy for Brazilian Thieves,sovkhan,27/11/2022,5,10592,10
His Last Rest Is In A Polluted And Dirt Stream,sovkhan,27/11/2022,6,4796,2
Car vs Death Machine: Somebody Will Die,sovkhan,27/11/2022,9,4590,8
Common Execution in Brazil,sovkhan,27/11/2022,5,5494,6
Dead Russian Kadyrov soldier is kicked by a Ukrainian,SystemError,27/11/2022,10,10116,21
Robbery suspect meets his gruesome end,sovkhan,27/11/2022,5,10206,5
Tragedy on the Beach: Female Corpse Without a Head,sovkhan,27/11/2022,9,5540,2
Another Brazilian Victim of Urban Violence,sovkhan,27/11/2022,5,4484,4
Shots and Death in the Parking Lot (with consequences),sovkhan,27/11/2022,14,9344,5
Bus vs Death Machine: Blood and Fractures,sovkhan,27/11/2022,7,3206,1
Motorcyclist Has Leg Destroyed In Horrific Accident,sovkhan,27/11/2022,4,1728,2
Drug User Kills Mother and Receives Punishment,sovkhan,27/11/2022,8,10052,3
Execution in Daylight,sovkhan,27/11/2022,6,4234,4
The Brazilian Driver Met His Tragic End,sovkhan,27/11/2022,4,3084,3
Death Machine VS Truck,sovkhan,27/11/2022,5,1610,2
Man was Executed: Another Homicide in Brazil,sovkhan,27/11/2022,4,2364,4
Dead and Abandoned,sovkhan,27/11/2022,4,1664,2
Never get involved in a couple's fight!,sovkhan,27/11/2022,6,6616,4
Dead Man on the Street,sovkhan,27/11/2022,4,1198,3
Man executed without mercy,jason2000,26/11/2022,8,3906,6
Woman Knocked Out By Flying Wheel.,jason2000,26/11/2022,45,42784,44
Shooting in Rio de Janeiro,jason2000,26/11/2022,11,6526,8
Worker Doing Maintenance Work Crushed By SUV,jason2000,26/11/2022,36,21700,20
Man Climbs Onto Augsburg Town Hall and Jumps to His Death,User404,26/11/2022,67,65884,63
Off Duty Officer Chased And Brutally Stabbed To Death,User404,26/11/2022,25,56996,31
Smile For The Camera!,BruceLeroy,26/11/2022,35,37590,20
"SkyNet Has Come Online, Wagner Nazi Surrenders To Drone",puretone,26/11/2022,18,16976,14
Wagner Popsicles In Bakhmut,puretone,26/11/2022,16,20222,14
Ukrainian soldier kicks a dead Russian body,SystemError,26/11/2022,14,13050,13
Multiple dead Russian bodies after work of UA troops,SystemError,26/11/2022,14,13536,19
UA starting to dig a grave for a killed RU while laughin,SystemError,26/11/2022,17,11782,19
VOG drone bomb bounces off a Ukraine soldier,SystemError,26/11/2022,9,14582,13
A truck crashes into a pedestrian near Moscow,SystemError,26/11/2022,9,4648,14
Many dead russians in Bakhmut,EternalRest,26/11/2022,9,7334,15
Brazil School Shooting: At Least 3 Dead and 11 Injured ,CezarBrazil,26/11/2022,81,129714,78
man has legs crushed by van,jason2000,25/11/2022,8,5278,8
Minus the Russian tank! Plus flying invaders,Demah13,25/11/2022,22,11800,27
Never Pick On Armed Guy In Brazil {Action & Aftermath},User404,25/11/2022,127,210390,137
A FEW DEAD RUSKIES PART14!,-GIZMO-,25/11/2022,94,244442,146
it was better to have been slapped,jason2000,25/11/2022,14,8362,10
Cold Blooded Murder At The Gas Station ,BruceLeroy,25/11/2022,46,68010,37
Bull Attacks and Kills 82-Year-Old Owner In Wuhan,User404,25/11/2022,46,50798,55
Drinks At The Bar Interrupted,User404,25/11/2022,23,45988,32
Hot Girl Loses Life In Head On Collision Of Motorbikes In Brazil,jason2000,25/11/2022,64,164644,102
Ukrainian Drone Serves Wellfare Check On Missing Russian,puretone,25/11/2022,31,78294,46
Fatal Landing Of Paragliders Caught On Camera (with aftermath),jason2000,25/11/2022,71,161350,82
man dressed as a woman was attacked at the qatar world cup,jason2000,25/11/2022,42,13350,22
Ukrainian marksman taking out Russian soldiers at night,SystemError,25/11/2022,14,13684,14
School students accident,hhalamri,25/11/2022,10,5100,7
Officer Fatally Shoots Colleague While Cleaning Gun,BruceLeroy,24/11/2022,49,67612,63
15-Story Fall Kills Woman Instantly.,User404,24/11/2022,37,18174,26
Pakistani Soldier Executed In Cold Blood In Border Clash With Afghan Taliban,User404,24/11/2022,32,46090,22
DAMN! Passerby Crushed Under Truck Load,User404,24/11/2022,25,34828,23
Armed Robber Holds Elderly Woman as Hostage but Fails In Brazil,InnerInsanity,24/11/2022,22,44724,26
Don't Rap and Drive...,gooberpea,24/11/2022,40,26946,36
UA Soldiers load corpses into a transporter,SystemError,24/11/2022,10,14920,17
LoL: Drunken Russian hangs half-naked from the fence,SystemError,24/11/2022,14,12464,11
"Somewhere in Russia, a car shot down a pedestrian",SystemError,24/11/2022,11,4402,9
"Shooting In Russian City Leaves 4 Dead, Including Gunman.",User404,24/11/2022,32,86068,41
Moment Two Taliban Commanders Are Eliminated ,BruceLeroy,24/11/2022,19,35126,18
ISIS Execute Kurdish Militia Member Shooting Him In The Head,User404,24/11/2022,29,67416,33
thief in your head with the football,jason2000,24/11/2022,10,9158,6
Knights Of Blyat Round Table Meeting Interrupted,puretone,24/11/2022,24,16930,23
Another Night Out In Rio.,jason2000,24/11/2022,31,59538,30
 Wounded Wagner Soldier Kills Himself with His AK Before Getting Bombed by a Ukrainian Drone,SystemError,24/11/2022,130,270906,166
Two Rather Hot Girls Involved In Drug Traffic Executed (Another Angle),Jean1082,24/11/2022,16,48064,14
Stabbed man dies in Israel,SystemError,24/11/2022,8,4496,6
Russian technical ATGM caught fire while firing,SystemError,24/11/2022,9,16404,14
Drone targets running Russians,SystemError,24/11/2022,6,12154,11
Cowering Huddled Russians Offered Reasons To Leave Ukraine,puretone,24/11/2022,28,21284,20
Bloody Mob Justice In Chile,Taurus333,24/11/2022,38,53102,55
"Thieves lynched in Recife, Brasil",Fichero_masna,23/11/2022,13,8492,8
Unfaithful Woman Hacked Up With Machete By Husband,BruceLeroy,23/11/2022,39,80236,24
"Damn, How She Is Alive Still.",Puligore,23/11/2022,82,114786,75
Spilling His Guts Out,jason2000,23/11/2022,33,52804,32
Poor Bitch Never Saw The Headshot Coming,User404,23/11/2022,32,158630,62
Two Rather Hot Girls Involved In Drug Traffic Dumped Executed,InnerInsanity,23/11/2022,53,160174,83
Long Haired Female Crackhead Gets Clubbed By Community Authorities,User404,23/11/2022,68,251404,127
Reason Not To Bring Your Fists To A Machete Fight,User404,23/11/2022,53,144934,77
Elderly Man Ends Life Under Bus Wheels,BruceLeroy,23/11/2022,33,34934,18
He wounded a saleswoman near Yekaterinburg with a knife,SystemError,23/11/2022,13,4698,8
THIS IS WHY YOU DON'T CHALLENGE A FACTION IN BR,Puligore,23/11/2022,28,44404,28
3 bandits were stoned to death,jason2000,23/11/2022,22,9752,7
dismembered hand and leg after accident ,Puligore,23/11/2022,12,8552,3
Flying orc,EternalRest,23/11/2022,15,17266,27
Colombian Businessman Gunned Down without Mercy,User404,23/11/2022,20,41172,28
Drone trops grenade precisely ,SystemError,23/11/2022,8,15942,12
Pick-up truck is pushed into crushing biker,SystemError,23/11/2022,29,32758,37
Knockout over a chair ,SystemError,23/11/2022,26,16194,14
Roadrage: Big Vs Little.,TrayBoondockSaint,23/11/2022,18,10700,13
Alleged Rapist Received His Lesson When Got Caught By Traffickers,jason2000,22/11/2022,43,72512,51
LOL. punished for stealing in favelas ,Puligore,22/11/2022,14,8908,8
A Friendly Reminder To Never Steal Anything In Africa,jason2000,22/11/2022,51,60828,31
Woman Accelerated Her Vehicle In Panic Run Over 14 Year-Old Girl,jason2000,22/11/2022,38,56112,34
Accident in Chengdu,Roger_From_England,22/11/2022,9,3718,9
360° Accident + other Accidents in guangdong,Roger_From_England,22/11/2022,9,3956,10
A child was hit by a car in Leibo County,Roger_From_England,22/11/2022,10,2654,6
Accident in Qinhuangdao city,Roger_From_England,22/11/2022,6,1486,6
"Mr. Chen, crashed his electric bike into a car in Zhongshan",Roger_From_England,22/11/2022,8,1256,7
electric bicycle collided into a car in Ningbo,Roger_From_England,22/11/2022,4,1416,8
You Better Don't Lose Cartel Drugs ,User404,22/11/2022,82,253972,141
A man was crushed by a car in Shanghai,Roger_From_England,22/11/2022,22,20494,21
Colombia Clashes Involving Drug Trafficking Factions Kill 18,Donald26,22/11/2022,19,30184,20
Wang in his electric tricycle was hit by a car in Guang'an,Roger_From_England,22/11/2022,6,1128,4
Electric bicycles collided into each other in Xiaogan City,Roger_From_England,22/11/2022,4,912,4
Zebra crossing Accident in Zhoushan City,Roger_From_England,22/11/2022,5,798,4
Grenade drops in a foxhole where 5 Russian soldiers,SystemError,22/11/2022,12,14700,19
Ukrainian drone sends Russian soldier to sleep,EternalRest,22/11/2022,14,12988,22
Someone Didn't Respect the Stop Sign (Action & Aftermath),User404,22/11/2022,13,29724,31
Schizophrenic Man Commits Suicide In Cuba After Murdering His Mother.,User404,22/11/2022,48,76150,55
Plainclothes Officer Shoots & Kills Thief During Attempted Robbery ,BruceLeroy,22/11/2022,9,19816,25
More parts of an impish Peruvian bull in peru,jason2000,22/11/2022,7,6772,9
When they don't like cops in Brazil,jason2000,22/11/2022,9,5070,11
 Worker Never Saw His Last Day Coming,User404,22/11/2022,92,195134,96
Pakistani Cop Loses Gun Battle With Armed Criminal,User404,22/11/2022,26,88272,48
Thick Latina Chick Shot In The Head Outside The Bar,User404,22/11/2022,54,101386,55
Footage of an ambushed Z truck and swollen dead body,SystemError,22/11/2022,16,16312,15
Grenade dropped by a Ukrainian drone lands in the center of a Russian group.,SystemError,22/11/2022,8,15508,20
Russian Soldiers vs Ukrainian Drone,EternalRest,22/11/2022,17,44314,35
Ukrainian Evolved FPV Killer Drone,puretone,22/11/2022,23,50152,31
Young Woman Surprised By Hitmen,BruceLeroy,22/11/2022,31,31852,18
I need a neck and a new servile spine,jason2000,21/11/2022,42,54880,54
Sicario Assassinates Woman In Cold Blood,User404,21/11/2022,21,61884,27
"Hitman Shoots Driver in the Chest, Kills Him on the Spot",User404,21/11/2022,12,62310,20
Looks Like the Dinner Date Is Cancelled,User404,21/11/2022,32,98254,49
Motorbike Trio Take Flight,BruceLeroy,21/11/2022,22,21312,23
Unexpected And Brutal Motorcycle Ride Ending,User404,21/11/2022,25,41452,43
dirty drugged man tries to injure police officer and is executed,jason2000,21/11/2022,19,9694,8
 Colombia palotherapy to thief,Donald26,21/11/2022,10,8232,4
18 Killed In Southern Colombia Turf War Between Guerrillas.,Donald26,21/11/2022,19,40278,25
Bulls Having the Time of Their Lives.,jason2000,21/11/2022,30,26576,30
A 10-year-old girl was hit by a truck at a crossing in Moscow. It died.,SystemError,21/11/2022,14,7096,5
YouTuber Kills Himself On Livestream,BruceLeroy,21/11/2022,122,226790,106
That Means the Ride Is OVER In Indonesian,SystemError,21/11/2022,34,26364,36
Very Up Close View of 2 Sleeping Russians Being Hit by a Hand Grenade.,SystemError,21/11/2022,76,155908,94
Dead russian soldiers on the Bakhmut front,SystemError,21/11/2022,6,10790,9
A man in Voronezh died of a heart attack or electric shock,SystemError,21/11/2022,6,3996,6
Motorcyclist in Yekaterinburg as a human torpedo,SystemError,21/11/2022,5,5160,6
traffickers are lynched ,Puligore,20/11/2022,13,15434,11
School Teacher Jumps From Window,Gutsy,20/11/2022,12,7518,11
"FUCK ,Never meddle in brazilian fights",jason2000,20/11/2022,25,40512,24
"In Brazil, There's Never a Day off",User404,20/11/2022,23,54444,24
"Criminals dead after shootout, brasil.",craniumred,20/11/2022,10,8050,4
Robber Aims His Gun a the Police but the Officer Quickly Heashots Him,craniumred,20/11/2022,25,35022,31
Beer With Friends Interrupted By Assassins (Action & Aftermath),jason2000,20/11/2022,17,35814,23
motorcyclists hit by trailer ,Razzia,20/11/2022,9,4296,1
Poor sir belly has his leg severed,jason2000,20/11/2022,19,5822,2
Brutal accident where a young man with a shattered leg ,Puligore,20/11/2022,9,4564,3
Obese woman dies in terrible accident,jason2000,20/11/2022,7,9190,1
Killed by Rivals ,Puligore,20/11/2022,24,41934,35
Horror On Pernambuco Highway,Puligore,20/11/2022,28,44168,32
Man on a electric bicycle collided into a minivan in Neijiang City,Roger_From_England,20/11/2022,8,1974,7
motorcyclist collided into a electric tricycle on the Jinyidong Highwa,Roger_From_England,20/11/2022,3,1278,5
Zebra crossing Accident in Tongxiang City,Roger_From_England,20/11/2022,2,914,4
Dude Hacked Up By Girlfriend's Ex,BruceLeroy,20/11/2022,21,36288,30
Yan was hit by a Truck in Liulin County Village,Roger_From_England,20/11/2022,4,1328,6
Accident in Longling County,Roger_From_England,20/11/2022,5,1862,7
Woman was hit by a car in Neijiang City,Roger_From_England,20/11/2022,4,1202,3
Accident in Guqiaozhen,Roger_From_England,20/11/2022,3,778,4
Yang was hit by a car in Ya'an City,Roger_From_England,20/11/2022,4,704,4
Zeng on his motorcycle collided into a car in Qingshen County,Roger_From_England,20/11/2022,4,790,5
Zhong in his car hit someone in Yueyang,Roger_From_England,20/11/2022,3,778,5
The Asian Torpedo will cause bowling on the way (+ aftermath),SystemError,20/11/2022,6,2656,4
Husband uses gun to slap wife's face....the gun discharges.,ISUS,20/11/2022,15,8552,3
Last breaths of life after being attacked with a machete ,Puligore,20/11/2022,15,12544,9
More dead Wagner garbage in Bakhmut,EternalRest,20/11/2022,22,14796,18
Ukrainians hide an explosive device in a trench,SystemError,20/11/2022,17,19916,18
LoL: Ukrainian drone pursues Russian soldiers trying to escape,SystemError,20/11/2022,20,18542,20
Grenade falls into the position of a RF soldier in a trench,SystemError,20/11/2022,14,13252,20
Ukrainian drone hits a Russian soldier on top of an armored vehicle,SystemError,20/11/2022,12,16972,13
Precise impact with a grenade,SystemError,20/11/2022,12,10292,17
Fatal Car vs. Pedestrian collision in Vologda (Russia),SystemError,20/11/2022,12,4454,7
Screaming On The Way Down,Gutsy,20/11/2022,25,24546,20
"SATANIC BULL, man was totally broken in an arena",jason2000,20/11/2022,20,7714,6
"Poor girl in helmet, had her leg torn apart in an accident",jason2000,20/11/2022,13,8094,5
Bodycam Shows Fairfield Police Shooting Man Who Pointed a BB Gun at Officer,User404,19/11/2022,27,35748,27
I Guess He's Lucky to be Alive?,User404,19/11/2022,67,79094,56
Five People Thrown From Theme Park Ride after Safety Bar Comes Loose,User404,19/11/2022,72,205652,99
Wagner Nazis Turned Into Bakhmut Fertilizer,puretone,19/11/2022,21,18172,21
Won't Be Walking That One Off,BruceLeroy,19/11/2022,18,25216,17
Single Punch Murder at the Metro Station In Brazil,User404,19/11/2022,54,86040,46
Construction Gate Collapses on Several Pedestrians In Ramban,User404,19/11/2022,18,30766,23
Disturbing Aftermath Of Deadly Crash That Took Lives Of 2 Young People,User404,19/11/2022,58,164734,88
Colombian Traffickers Use Sharp machete On The Rival,User404,19/11/2022,25,112904,65
two people are killed with several shots ,Puligore,19/11/2022,5,5070,3
"Ukrainian assault, under fire",SystemError,19/11/2022,25,15340,13
The first snowdrops in Ukraine (many frozen orcs),EternalRest,19/11/2022,20,11996,21
Multiple Wagner bodies,SystemError,19/11/2022,10,10436,22
Sappers found a lot of Russian corpses,EternalRest,19/11/2022,18,15674,24
Ukrainian SOF destroyed a russian tank,EternalRest,19/11/2022,10,10212,24
Rocket attack in Chernihiv recorded from dashboard cam,SystemError,19/11/2022,8,11932,8
Man was killed with several shots.,Fenrir666,19/11/2022,7,4330,5
Husband violently slaps wife holding child.,Fenrir666,19/11/2022,11,6110,3
